artifact_id,thesis_claim_id,path,type,source_data,generating_script,config,git_commit,checksum,expected_runtime,public_release_status
A28,rfqrc,results/rfqrc/,result_tables,fresh (no cache),experiments/run_rfqrc.py + experiments/run_rfqrc_mv_control.py,faithful Ahmed et al. protocol: onestep+closedloop+MV twin+shots,735c9e9,see registry,~40min,include
A29,rfqrc-cheb,results/rfqrc_cheb/,result_tables,fresh (no cache),experiments/run_rfqrc_cheb.py,Chebyshev encoding inside RF-QRC + classical twin,735c9e9,see registry,~30min,include
A30,catalogue-ext,results/catalogue_ext.csv,result_table,leaderboard frame (henon 5 seeds untuned tier),experiments/run_catalogue_ext.py,Theta+ElasticNet+ExtraTrees+KernelRidge,85cf673,see registry,~2min,include
A31,qngrc,results/cross/qngrc_comparison.csv,result_table,reconstructed producer verified 15/15 rows reldiff 0,experiments/run_qngrc_comparison.py,npts=1500 seed0 lookback5 deterministic,70795b7,see registry,~10min,include
A32,dissipative,results/dissipative/,result_tables,fresh compute; sanity gates in script,experiments/run_dissipative_qrc.py,FN erase-and-write + damping grid tau x gamma; MC task; matched twins,89781cc,see registry,~30min,include
A33,dissipative-mc-corrected,results/dissipative/mc_tuned_grid.csv;results/dissipative/mc_tuned_final.csv,result_tables,iid uniform MC task seed 7,experiments/run_mc_tuned_esn.py,equal 63-config budgets; val selection; d<=40; 10 seeds; bootstrap CI,4ddea7f,see registry,~5min,include
A34,headline-20seed,results/headline_20seed.csv,result_table,generated trajectories,experiments/run_headline_20seed.py,20 seeds headline refresh,see registry,see registry,~30min,include
A35,esn-budget-tune,results/esn_budget_tune.csv,result_table,generated trajectories,experiments/run_esn_budget_tune.py,14-config ESN grid = QRC budget,see registry,see registry,~15min,include
A36,concentration-5seed,results/concentration/scaling_variance_5seed.csv;results/concentration/scaling_benefit_5seed.csv,result_tables,observable variance + ZZ benefit,experiments/run_variance_5seed.py;experiments/run_benefit_5seed.py,5 seeds n in {4;6;8},see registry,see registry,~1h,include
A37,mg-climate-regen,results/cross/mackeyglass_climate.csv,result_table,MG climate battery regeneration,experiments/regen_mg_climate.py,3 seeds identical harness,see registry,see registry,~10min,include
